Analytes	Cluster	Degree
LDLR	0	1238
LEPR	0	1238
MARCO	0	1238
OPTC	0	1238
TNFRSF11B	0	1238
ADAMTS15	0	1237
CA1	0	1237
CA3	0	1237
CNTN1	0	1237
CTSB	0	1237
GDF2	0	1237
GPC5	0	1237
HSD11B1	0	1237
IL18R1	0	1237
KLK6	0	1237
MMP12	0	1237
NEFL	0	1237
NOTCH3	0	1237
OGFR	0	1237
PCDH1	0	1237
SLITRK2	0	1237
CDNF	0	1236
CHI3L1	0	1236
CTSL	0	1236
DLK1	0	1236
ICAM5	0	1236
IGFBP3	0	1236
NUCB2	0	1236
SFTPD	0	1236
SPINT2	0	1236
TIMP1	0	1236
EIF4EBP1	0	1235
GDF15	0	1235
ICOSLG	0	1235
ITGB7	0	1235
NCF2	0	1235
NFASC	0	1235
PGLYRP1	0	1235
PSME2	0	1235
RELT	0	1235
RNASET2	0	1235
RSPO1	0	1235
SDC1	0	1235
SETMAR	0	1235
SMAD5	0	1235
TFF2	0	1235
WFDC2	0	1235
p-cresol glucuronide*	0	1235
ADAM23	0	1234
CD4	0	1234
CD99	0	1234
COL1A1	0	1234
CSTB	0	1234
IL1RL1	0	1234
IL6ST	0	1234
MB	0	1234
PDGFRB	0	1234
THBD	0	1234
XCL1	0	1234
AHSP	0	1233
CCL15	0	1233
CCL24	0	1233
FSTL3	0	1233
GPC1	0	1233
GPNMB	0	1233
LAIR1	0	1233
LGALS1	0	1233
WFDC12	0	1233
WIF1	0	1233
CRTAC1	0	1232
DKK1	0	1232
IFNGR1	0	1232
IGFBP7	0	1232
IL32	0	1232
KLK10	0	1232
LPO	0	1232
NCAM1	0	1232
PTPRS	0	1232
SCGB3A2	0	1232
TGFBR2	0	1232
VMO1	0	1232
B4GALT1	0	1231
CGA	0	1231
LCN2	0	1231
MFGE8	0	1231
THPO	0	1231
TMPRSS5	0	1231
N-palmitoyl-sphingadienine (d18:2/16:0)*	2	1231
CANT1	0	1230
CD79B	0	1230
CPXM1	0	1230
ESM1	0	1230
IL2RA	0	1230
MMP8	0	1230
PIGR	0	1230
RBP5	0	1230
ROBO2	0	1230
SFRP1	0	1230
CD55	0	1229
CLEC5A	0	1229
CXCL5	0	1229
DPEP1	0	1229
FGF21	0	1229
FLT1	0	1229
HBQ1	0	1229
IGFBPL1	0	1229
LAMP2	0	1229
NPM1	0	1229
NPTXR	0	1229
PSG1	0	1229
SIGLEC6	0	1229
SLAMF8	0	1229
CD200R1	0	1228
CELA3A	0	1228
CHRDL1	0	1228
DNPH1	0	1228
FABP1	0	1228
FABP2	0	1228
MDGA1	0	1228
NCR1	0	1228
NMNAT1	0	1228
N-acetylaspartate (NAA)	1	1228
BAIAP2	0	1227
CCN2	0	1227
CD200	0	1227
DDC	0	1227
DNER	0	1227
EPCAM	0	1227
LGALS3	0	1227
MEPE	0	1227
MET	0	1227
PSMG3	0	1227
SPP1	0	1227
VCAN	0	1227
CD109	0	1226
CXCL9	0	1226
FST	0	1226
GALNT7	0	1226
GCNT1	0	1226
LHPP	0	1226
NBL1	0	1226
OLR1	0	1226
OMD	0	1226
PDCD1	0	1226
PPME1	0	1226
PSMD9	0	1226
RET	0	1226
THBS2	0	1226
TMSB10	0	1226
TNFRSF1B	0	1226
TNFRSF21	0	1226
APEX1	0	1225
BMP4	0	1225
COL4A1	0	1225
GALNT10	0	1225
IL12A_IL12B	0	1225
IL12B	0	1225
IL16	0	1225
NTRK3	0	1225
PVR	0	1225
TRAF2	0	1225
ANG	0	1224
COL9A1	0	1224
DSC2	0	1224
EDAR	0	1224
ENAH	0	1224
FGF23	0	1224
HGF	0	1224
PRSS8	0	1224
PSME1	0	1224
RBKS	0	1224
SMPD1	0	1224
TGFB1	0	1224
TGM2	0	1224
TIMP4	0	1224
VCAM1	0	1224
WARS	0	1224
CCL2	0	1223
CD70	0	1223
CXCL3	0	1223
ITGA11	0	1223
LY96	0	1223
MDK	0	1223
SPON1	0	1223
ST3GAL1	0	1223
ABHD14B	0	1222
ADA2	0	1222
ADAMTS8	0	1222
APBB1IP	0	1222
BMP6	0	1222
DLL1	0	1222
LAMP3	0	1222
LGMN	0	1222
MAD1L1	0	1222
OMG	0	1222
PIK3AP1	0	1222
PPCDC	0	1222
RAB6A	0	1222
SPARCL1	0	1222
cortisol	0	1222
glutamine conjugate of C7H12O2*	1	1222
AGRN	0	1221
AGXT	0	1221
APP	0	1221
CCL5	0	1221
CD74	0	1221
DBI	0	1221
DSG2	0	1221
FOLR1	0	1221
HMOX1	0	1221
MFAP5	0	1221
MILR1	0	1221
TGFBR3	0	1221
TREML2	0	1221
TRIAP1	0	1221
CD34	0	1220
CD46	0	1220
CD83	0	1220
EGFR	0	1220
GDNF	0	1220
NOS1	0	1220
PCOLCE	0	1220
PEBP1	0	1220
PLIN3	0	1220
THY1	0	1220
TPP1	0	1220
TPSAB1	0	1220
CNTN3	0	1219
CSF2RA	0	1219
CTRC	0	1219
CTSC	0	1219
ENTPD5	0	1219
MMP9	0	1219
SCARF1	0	1219
ANGPTL3	0	1218
CCL28	0	1218
CDH1	0	1218
CHIT1	0	1218
FABP4	0	1218
IL1RAP	0	1218
KITLG	0	1218
LILRB2	0	1218
PLXDC1	0	1218
SEMA3F	0	1218
SERPINB9	0	1218
TNFSF13	0	1218
VSIR	0	1218
CALCA	0	1217
CCL11	0	1217
CLEC14A	0	1217
CNPY4	0	1217
CNTN4	0	1217
DCTPP1	0	1217
DDR1	0	1217
KLK1	0	1217
LACTB2	0	1217
NUDT5	0	1217
OSMR	0	1217
PTPRM	0	1217
SERPINA11	0	1217
TREM2	0	1217
WISP2	0	1217
beta-sitosterol	1	1217
ANGPT1	0	1216
CD28	0	1216
CD40	0	1216
CXCL10	0	1216
ERBB3	0	1216
FCRL1	0	1216
FGFR2	0	1216
FUT3_FUT5	0	1216
IL1R2	0	1216
ITM2A	0	1216
MYOC	0	1216
NDRG1	0	1216
PDGFA	0	1216
PPY	0	1216
RGMA	0	1216
VASN	0	1216
VAT1	0	1216
CD22	0	1215
CRIM1	0	1215
CRLF1	0	1215
DEFA1_DEFA1B	0	1215
ENPP2	0	1215
GH1	0	1215
IL7	0	1215
KLK14	0	1215
PLA2G7	0	1215
QDPR	0	1215
SKAP1	0	1215
SNX9	0	1215
SPOCK1	0	1215
TNFRSF8	0	1215
XPNPEP2	0	1215
AOC3	0	1214
CARHSP1	0	1214
CD27	0	1214
CD8A	0	1214
ENTPD2	0	1214
IL6R	0	1214
MMP1	0	1214
NCAM2	0	1214
PFKFB2	0	1214
PLAUR	0	1214
PRTG	0	1214
SPINT1	0	1214
"N2-acetyl,N6-methyllysine"	1	1214
AMIGO2	0	1213
CD48	0	1213
CNTN2	0	1213
CTSF	0	1213
ENG	0	1213
FGF19	0	1213
GP2	0	1213
IDUA	0	1213
IGF2R	0	1213
IL18BP	0	1213
PRTN3	0	1213
SUSD2	0	1213
CASP8	0	1212
CCL8	0	1212
CD97	0	1212
CDHR5	0	1212
DPY30	0	1212
IL18RAP	0	1212
ITIH3	0	1212
MME	0	1212
PDCD5	0	1212
PRL	0	1212
PROC	0	1212
SPINK6	0	1212
UMOD	0	1212
AZU1	0	1211
B4GAT1	0	1211
BPIFB1	0	1211
CD300LF	0	1211
CSF1	0	1211
GNLY	0	1211
LPL	0	1211
NRCAM	0	1211
SLAMF7	0	1211
TNFRSF10C	0	1211
TNFSF10	0	1211
ADGRE2	0	1210
CCL20	0	1210
CHRDL2	0	1210
GGT1	0	1210
GP6	0	1210
GRN	0	1210
IRAK1	0	1210
PLA2G2A	0	1210
ADAM15	0	1209
ALPP	0	1209
BAG3	0	1209
CCL18	0	1209
CLEC4G	0	1209
CLUL1	0	1209
DPP4	0	1209
F7	0	1209
FABP5	0	1209
HYOU1	0	1209
IGSF3	0	1209
ISM1	0	1209
KYNU	0	1209
LRRC25	0	1209
NOS3	0	1209
NT5E	0	1209
PARK7	0	1209
STC2	0	1209
VEGFC	0	1209
ANPEP	0	1208
CA11	0	1208
CC2D1A	0	1208
FABP9	0	1208
GZMA	0	1208
HAVCR2	0	1208
IL1RL2	0	1208
LYPD3	0	1208
MEGF9	0	1208
NADK	0	1208
NID1	0	1208
SERPINB6	0	1208
SLC39A14	0	1208
ST6GAL1	0	1208
AGER	0	1207
C4BPB	0	1207
CTSZ	0	1207
DPP6	0	1207
GAS6	0	1207
LTBP3	0	1207
MMP10	0	1207
MSR1	0	1207
RARRES2	0	1207
SEMA4D	0	1207
SIGLEC1	0	1207
SIGLEC7	0	1207
TXNRD1	0	1207
USP8	0	1207
ACY1	0	1206
CA4	0	1206
CBLIF	0	1206
CTSH	0	1206
DPEP2	0	1206
ELOA	0	1206
FABP6	0	1206
FOLR2	0	1206
IKBKG	0	1206
IL7R	0	1206
LILRB1	0	1206
METAP2	0	1206
OSCAR	0	1206
PDGFB	0	1206
PILRB	0	1206
PLAT	0	1206
SERPINE1	0	1206
SIAE	0	1206
TCN2	0	1206
TNFRSF13B	0	1206
TNFSF12	0	1206
C2CD2L	0	1205
CD274	0	1205
CD300C	0	1205
CD93	0	1205
CPPED1	0	1205
ICAM4	0	1205
LAMA4	0	1205
LBR	0	1205
PLPBP	0	1205
PPIB	0	1205
PPP1R2	0	1205
SELE	0	1205
SMPDL3A	0	1205
CCL4	0	1204
CD209	0	1204
CD58	0	1204
CES1	0	1204
CHL1	0	1204
DSG4	0	1204
HBEGF	0	1204
IL17RA	0	1204
KIRREL2	0	1204
KLK8	0	1204
MMP3	0	1204
NAAA	0	1204
PDCD6	0	1204
PRDX1	0	1204
PSPN	0	1204
PTH1R	0	1204
SORT1	0	1204
TIMP3	0	1204
TMPRSS15	0	1204
TNR	0	1204
ACP5	0	1203
AFP	0	1203
BAG6	0	1203
CD2AP	0	1203
CD99L2	0	1203
ENPP7	0	1203
FASLG	0	1203
HDGF	0	1203
KDR	0	1203
PDCD1LG2	0	1203
PTS	0	1203
TYMP	0	1203
AXL	0	1202
CDCP1	0	1202
CR2	0	1202
CRHBP	0	1202
CRISP2	0	1202
CXCL11	0	1202
GFER	0	1202
HEXIM1	0	1202
NOTCH1	0	1202
NRP2	0	1202
SIRPB1	0	1202
TFPI2	0	1202
VWA1	0	1202
3-aminoisobutyrate	1	1202
ATOX1	0	1201
CLEC11A	0	1201
CTSV	0	1201
GUSB	0	1201
LTA	0	1201
SOD1	0	1201
TNFSF13B	0	1201
ALCAM	0	1200
CD63	0	1200
CD84	0	1200
CLEC6A	0	1200
DNMBP	0	1200
ENTPD6	0	1200
IL1R1	0	1200
IL6	0	1200
KAZALD1	0	1200
LGALS9	0	1200
SOD2	0	1200
ACE2	0	1199
CBLN4	0	1199
CXCL13	0	1199
FCAR	0	1199
FUT8	0	1199
NPTX1	0	1199
PAMR1	0	1199
PODXL2	0	1199
PPP3R1	0	1199
ANGPT2	0	1198
CIAPIN1	0	1198
EFEMP1	0	1198
FCER2	0	1198
ICAM2	0	1198
ITGAV	0	1198
KIT	0	1198
MASP1	0	1198
SIRPA	0	1198
SPARC	0	1198
SSC5D	0	1198
TXLNA	0	1198
YES1	0	1198
gamma-carboxyglutamate	2	1198
AKT1S1	0	1197
CA6	0	1197
CCL16	0	1197
CCN1	0	1197
CEACAM1	0	1197
CFC1	0	1197
DFFA	0	1197
MCAM	0	1197
MEGF10	0	1197
PILRA	0	1197
TNFSF14	0	1197
AXIN1	0	1196
CASC4	0	1196
CPE	0	1196
CRELD2	0	1196
F11R	0	1196
MANSC1	0	1196
PEAR1	0	1196
PTPN1	0	1196
PVALB	0	1196
RRM2	0	1196
SDC4	0	1196
TBCC	0	1196
TYRO3	0	1196
CCL22	0	1195
CKMT1A_CKMT1B	0	1195
COMP	0	1195
DAG1	0	1195
ENPP5	0	1195
FKBP5	0	1195
FUCA1	0	1195
IL18	0	1195
LILRA2	0	1195
MITD1	0	1195
PAM	0	1195
BCR	0	1194
C2	0	1194
CLEC4A	0	1194
CPA2	0	1194
KRT18	0	1194
PODXL	0	1194
QPCT	0	1194
SCLY	0	1194
STX8	0	1194
ARSB	0	1193
ASAH2	0	1193
BANK1	0	1193
GMPR	0	1193
IL15	0	1193
KEL	0	1193
LY9	0	1193
MGMT	0	1193
MPI	0	1193
SOST	0	1193
SUMF2	0	1193
TFPI	0	1193
TXNDC15	0	1193
tridecenedioate (C13:1-DC)*	1	1193
ADAM8	0	1192
CLEC1B	0	1192
FAP	0	1192
GRPEL1	0	1192
HS6ST1	0	1192
MATN2	0	1192
PLXNB2	0	1192
SERPINA9	0	1192
VPS37A	0	1192
ALDH1A1	0	1191
ARHGEF12	0	1191
BLMH	0	1191
BST1	0	1191
CASP3	0	1191
FCRLB	0	1191
ITGB5	0	1191
NELL2	0	1191
2-hydroxy-4-(methylthio)butanoic acid	0	1191
BGN	0	1190
CCS	0	1190
CDON	0	1190
CEACAM21	0	1190
CLEC4C	0	1190
CPM	0	1190
CTSO	0	1190
DCBLD2	0	1190
ENO1	0	1190
ERBB4	0	1190
IQGAP2	0	1190
NUDC	0	1190
PRDX5	0	1190
REN	0	1190
TDRKH	0	1190
ARHGAP25	0	1189
CCL17	0	1189
CCL19	0	1189
CDHR2	0	1189
CORO1A	0	1189
CRADD	0	1189
GLB1	0	1189
HMOX2	0	1189
HSPA1A	0	1189
LY75	0	1189
PTPRF	0	1189
RNF41	0	1189
RWDD1	0	1189
SEMA7A	0	1189
WFIKKN1	0	1189
CLPP	0	1188
FCGR2A	0	1188
HTRA2	0	1188
IPCEF1	0	1188
LAT2	0	1188
MIF	0	1188
MSTN	0	1188
PLXNB3	0	1188
RNASE3	0	1188
S100A12	0	1188
VAMP5	0	1188
ANGPTL2	0	1187
ANXA3	0	1187
BAX	0	1187
CD163	0	1187
CST7	0	1187
F9	0	1187
INPPL1	0	1187
ITGB1	0	1187
MGLL	0	1187
NME3	0	1187
PLXNA4	0	1187
SEMA4C	0	1187
TNXB	0	1187
beta-citrylglutamate	0	1187
BRK1	0	1186
CALCOCO1	0	1186
CCL13	0	1186
CD69	0	1186
DARS	0	1186
DECR1	0	1186
HAO1	0	1186
HYAL1	0	1186
IL10RB	0	1186
LRIG1	0	1186
MESD	0	1186
NID2	0	1186
TIMD4	0	1186
WWP2	0	1186
ADH4	0	1185
DNAJA2	0	1185
EGF	0	1185
ENO2	0	1185
FOLR3	0	1185
GPA33	0	1185
LRPAP1	0	1185
MANF	0	1185
PDLIM7	0	1185
RHOC	0	1185
ROBO1	0	1185
TBCB	0	1185
ATP5IF1	0	1184
CA13	0	1184
CD14	0	1184
CXCL17	0	1184
FIS1	0	1184
ITGB6	0	1184
NFATC1	0	1184
NT5C3A	0	1184
NTF3	0	1184
STAMBP	0	1184
STX4	0	1184
TBC1D5	0	1184
CRKL	0	1183
EDIL3	0	1183
EIF4G1	0	1183
FCGR3B	0	1183
FETUB	0	1183
HCLS1	0	1183
ICAM1	0	1183
LILRB5	0	1183
MSRA	0	1183
TEK	0	1183
VTA1	0	1183
"N2-acetyl,N6,N6-dimethyllysine"	1	1183
BCAM	0	1182
CD40LG	0	1182
CEACAM8	0	1182
FMNL1	0	1182
FXN	0	1182
IMPA1	0	1182
IRAK4	0	1182
L1CAM	0	1182
PCSK9	0	1182
SELP	0	1182
SHMT1	0	1182
SORD	0	1182
SUSD1	0	1182
TGFBI	0	1182
CXCL12	0	1181
LAT	0	1181
METAP1D	0	1181
PLA2G15	0	1181
PPP1R9B	0	1181
TCL1A	0	1181
CAPG	0	1180
OXT	0	1180
SCAMP3	0	1180
STAT5B	0	1180
SULT1A1	0	1180
THOP1	0	1180
APRT	0	1179
CCL21	0	1179
CCL26	0	1179
CREG1	0	1179
INHBC	0	1179
PLAU	0	1179
PRCP	0	1179
SRC	0	1179
SSC4D	0	1179
ADA	0	1178
CNDP1	0	1178
DAB2	0	1178
DCTN1	0	1178
ERBB2	0	1178
HARS	0	1178
IL13RA1	0	1178
PRKAR1A	0	1178
RILP	0	1178
SNAP23	0	1178
TRIM21	0	1178
C1QTNF1	0	1177
CD33	0	1177
DBNL	0	1177
DKKL1	0	1177
ECE1	0	1177
GRAP2	0	1177
GZMB	0	1177
NELL1	0	1177
SKAP2	0	1177
CCL7	0	1176
CD1C	0	1176
CD244	0	1176
FCN2	0	1176
FLT3LG	0	1176
ICAM3	0	1176
ISLR2	0	1176
P4HB	0	1176
SIRT2	0	1176
STK11	0	1176
THBS4	0	1176
COMT	0	1175
DEFB4A_DEFB4B	0	1175
EIF4B	0	1175
GGH	0	1175
HSPB1	0	1175
LYN	0	1175
PECAM1	0	1175
PLA2G4A	0	1175
VNN2	0	1175
CDH5	0	1174
DCXR	0	1174
EBAG9	0	1174
GALNT2	0	1174
HPCAL1	0	1174
ITGAM	0	1174
LRRN1	0	1174
PTPN6	0	1174
SNAP29	0	1174
ERP44	0	1173
GKN1	0	1173
SIGLEC9	0	1173
TNFSF11	0	1173
EGFL7	0	1172
FLT4	0	1172
MPO	0	1172
GP1BA	0	1171
PPP1R12A	0	1171
TLR3	0	1171
CPVL	0	1170
CXCL16	0	1170
FRZB	0	1170
FYB1	0	1170
GSTA1	0	1170
MPIG6B	0	1170
CXCL1	0	1169
ITGA5	0	1169
ITGB2	0	1169
LBP	0	1169
TNC	0	1169
VWF	0	1169
LILRA5	0	1168
PNLIPRP2	0	1167
IFNGR2	0	1166
MZB1	0	1165
SF3B4	0	1165
NOMO1	0	1163
N6-carbamoylthreonyladenosine	2	1163
FCRL2	0	1162
FCRL5	0	1161
N-acetylalanine	2	1160
ARSA	0	1159
LGALS8	0	1159
TIE1	0	1159
FURIN	0	1157
DNAJB1	0	1155
IL5RA	0	1154
CRH	0	1149
C-glycosyltryptophan	2	1143
indomethacin	1	1141
ibuprofen	1	1141
alpha-lipoate	1	1141
ofloxacin	1	1141
valproate	1	1141
carbamazepine	1	1141
chlorzoxazone	1	1141
"carbamazepine 10,11-epoxide"	1	1141
carbamazepine glucuronide*	1	1141
ibuprofen acyl glucuronide	1	1141
allopurinol riboside	1	1141
oxypurinol	1	1141
ranitidine	1	1141
celecoxib	1	1141
venlafaxine	1	1141
paroxetine	1	1141
2-hydroxyibuprofen	1	1141
carboxyibuprofen	1	1141
O-desmethylvenlafaxine	1	1141
furosemide	1	1141
2-propyl-4-pentenoate (4-ene-valproate)	1	1141
candesartan	1	1141
perindopril	1	1141
tramadol	1	1141
O-desmethyltramadol	1	1141
pregabalin	1	1141
rivaroxaban	1	1141
diclofenac	1	1141
solifenacin	1	1141
tadalafil	1	1141
trazadone	1	1141
fluconazole	1	1141
3-hydroxyvalproate	1	1141
5-hydroxyvalproate	1	1141
2-propyl-2-pentenoate (2-ene-valproate)	1	1141
3-hydroxycarbamazepine	1	1141
2-hydroxycarbamazepine	1	1141
valproic acid glucuronide	1	1141
tenofovir	1	1141
febuxostat	1	1141
medazepam	1	1141
vildagliptin	1	1141
dodecanedioate (C12-DC)	0	1139
citrate	1	1135
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0	1124
hypotaurine	1	1116
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	1	1111
dihomo-linolenoyl-choline	1	1106
3-hydroxydecanoate	1	1105
suberate (C8-DC)	0	1095
hippurate	2	1094
4-methylhexanoylglutamine	1	1088
aconitate [cis or trans]	0	1086
docosahexaenoylcholine	1	1086
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	1	1071
metabolonic lactone sulfate	1	1071
palmitoyl sphingomyelin (d18:1/16:0)	1	1057
carotene diol (1)	1	1055
corticosterone	1	1052
heptenedioate (C7:1-DC)*	2	1048
"N2,N2-dimethylguanosine"	2	1043
N-acetylthreonine	2	1042
pristanate	1	1036
vanillylmandelate (VMA)	2	1034
N-acetylglycine	1	1034
stearoylcholine*	1	1032
pseudouridine	2	1030
"3,4-dihydroxybutyrate"	2	1029
"1,2-dipalmitoyl-GPC (16:0/16:0)"	1	1023
phenylacetate	0	1021
N-acetylneuraminate	2	984
cinnamoylglycine	1	977
arachidonoylcholine	1	977
glycerol	1	975
3-hydroxystearate	1	972
N-palmitoyltaurine	1	971
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*"	1	970
N-acetylvaline	2	963
homocitrulline	2	960
S-adenosylhomocysteine (SAH)	2	958
3-methoxytyrosine	2	957
urea	2	944
3-hydroxyoleate*	1	944
alpha-ketoglutarate	0	941
propyl 4-hydroxybenzoate	0	934
3-(3-amino-3-carboxypropyl)uridine*	2	925
palmitoylcholine	1	913
N6-methyllysine	1	910
3-phenylpropionate (hydrocinnamate)	0	909
orotidine	0	894
